registerId,value,unit,measuredAt,device,profile,groupName
1-0:1.8.0*255,3270.294,kWh,,ISKIE077097,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,276.236,kWh,,ISKIE077145,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,209.015,kWh,,ISKIE077151,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,990.915,kWh,,ISKIE076976,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,144.213,kWh,,ISKIE077133,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,1880.67,kWh,,ISKIE077134,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,867.002,kWh,,ISKIE077138,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,373.556,kWh,,ISKIE077139,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,837.069,kWh,,ISKIE077011,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,287.675,kWh,,ISKIE077143,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,406.612,kWh,,ISKIE077150,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,422.28,kWh,,ISKIE077149,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,671.658,kWh,,ISKIE077152,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,1363.998,kWh,,ISKIE077008,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,822.653,kWh,,ISKIE077208,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,58.466,kWh,,ISKIE077220,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,1080.584,kWh,,ISKIE077218,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,794.077,kWh,,ISKIE077205,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,2407.393,kWh,,ISKIE076962,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,201.927,kWh,,ISKIE076903,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,4345.064,kWh,,ISKIE077012,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,501.468,kWh,,ISKIE077009,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,3017.326,kWh,,ISKIE077096,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,124.132,kWh,,ISKIE077222,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,619.222,kWh,,ISKIE077093,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,577.735,kWh,,ISKIE077147,1-0:98.1.0*255,Panchet Commercial
